Item_Name;Price;Size;Number_of_Rooms;Address;Seller;Tags;Image_URL;Page_Link;Status;Region;Object;Action;Date;Latitude;Longitude;Price_EUR;Rooms;Size_m2;Latitude_n;Longitude_n
Exklusive DG Wohnung in Top-Lage Salzburgs;1.750 €;89,46 m²;3 Zimmer;5020 Salzburg;Fabian Vorderegger;"Neu
Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xd-1702281554-fbbd501c9b364ee9bc5b8b0b8a2614fd;https://www.immobilienscout24.at/expose/657bff736ee216156d2e6582;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1750.0;3.0;89.46;47.8245495205773;13.0454890100571
Gepflegte 3 Zimmer Wohnung in der Altstadt;1.641 €;117,6 m²;4 Zimmer;5020 Salzburg;Fabian Vorderegger;"Provisionsfrei
Terrasse
Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xd-1698739496-a0cf8be4954548408e477154abdb8e2d;https://www.immobilienscout24.at/expose/655b09f27b6abde0b055a9ee;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1641.0;4.0;117.6;47.8245369982955;13.0454513202974
traumhafte Aussichtslage! exklusive 3 Zimmer Stadtwohnung mit Terrasse in Aigen Salzburg Stadt;1.750 €;102 m²;3 Zimmer;Kreuzbergpromenade 17a, Top 2, 5026 Salzburg Stadt;statt;"Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83ZN-1697580045-f999836831b940af8c8095f87e6bb9f2;https://www.immobilienscout24.at/expose/652ee82f2b1de3e658959aa1;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;;;1750.0;3.0;102.0;;
Riedenburg, gemütliche ruhige 4 Zimmer Wohnung mit Loggia;1.679 €;98 m²;4 Zimmer;Anton Hochmuth Straße 4, 5020 Salzburg;Gewerblich;"Provisionsfrei
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qjD-c2a2f8b6cf574d759cd8ab22bef9ee78;https://www.immobilienscout24.at/expose/6549f1d3b3a73f534224f45e;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.7973402;13.0285299;1679.0;4.0;98.0;47.7974275798195;13.0285178534061
Kurzzeitmiete für 6 Monate - 3-Zimmer Wohnung ''All in'';1.749 €;72 m²;3 Zimmer;5020 Salzburg;;"Provisionsfrei
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000BjW3e-634cb496be5d4967864ab3c6fbae9541;https://www.immobilienscout24.at/expose/65707013e3e417770e549388;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1749.0;3.0;72.0;47.8243205195449;13.0454041612528
salzburg.living - Lebensraum im Salzburger Süden;349.200 €;76,01 m²;3,5 Zimmer;5020 Salzburg;Markus Schwarz;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000kvauU-1702330887-1576109853d64ba597c6fa6590b0b308;https://www.immobilienscout24.at/expose/65777a99e472d5fc06ca1460;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;349200.0;3.5;76.01;47.82437166722;13.0451778872643
Grundriss-Perfektion auf 60 m²: Entdecken Sie Ihr neues Zuhause!;265.000 €;60 m²;3 Zimmer;5020 Salzburg;;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000005E2DL-e324e258f6c44017ad8c9b762cc7e25a;https://www.immobilienscout24.at/expose/65322ce24828e99a648b5240;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;265000.0;3.0;60.0;47.8243942436952;13.0453321777089
4-Zimmerwohnung – ''Feldzauber'';349.000 €;81 m²;4 Zimmer;5020 Salzburg;statt;"Balkon
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000BjW3e-03781ad4bb084a89baa8fd94cfd4ce91;https://www.immobilienscout24.at/expose/6304f8c4f9daa5a37f71f626;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;349000.0;4.0;81.0;47.8245532237507;13.0452053878909
Gemütliche 3 Zi. Wohnung mit Blick ins Grüne Nähe LKH;285.000 €;64 m²;3 Zimmer;5020 Salzburg;;"Balkon
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83ti-1700131459-670ae14f83c74c6dbf62600fe08d650f;https://www.immobilienscout24.at/expose/654e32d67b6156bcd2d5a28e;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;285000.0;3.0;64.0;47.8245421560932;13.0454801369367
*Provisionsfrei* Helle, moderne 3-Zimmer-Wohnung in Ruhelage;349.000 €;71 m²;3 Zimmer;Kirchenstraße 38, 5020 Salzburg;von Privat;Provisionsfrei;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000T57o9-5af660b809cd41b797b8b2ecfc6d11cc;https://www.immobilienscout24.at/expose/654a84861cf7b8d9e9fd68a5;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243884;13.0495271;349000.0;3.0;71.0;47.824253717735;13.0495911809038
3-Zimmer-Wohnung: Ihr urbanes Zuhause in der City!;275.000 €;63 m²;3 Zimmer;5020 Salzburg;statt;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000005E2DL-f16b50a4474046119b1d48003d41f1ae;https://www.immobilienscout24.at/expose/64762099f5d7ee3544826db0;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;275000.0;3.0;63.0;47.8243419266298;13.0452979903652
Welcome Home!! 3 Zimmer Wohnung mit Balkon in Aiglhof;329.000 €;67,71 m²;3 Zimmer;5020 Salzburg;Suzana Nikolic;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qvV-1689786288-ad3c2f23c5f245b489b539cb85244b03;https://www.immobilienscout24.at/expose/64b7fbd47f4db1c4f72795c4;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;329000.0;3.0;67.71;47.8244542253194;13.0451709133855
FRISCH RENOVIERT AM PARK;306.000 €;61 m²;3 Zimmer;5020 Salzburg;Bernhard Geringer;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3r9F-c2cee8e42acc4b3b821f2be35e9d1057;https://www.immobilienscout24.at/expose/6566d5abe75071a031a47fdd;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;306000.0;3.0;61.0;47.8245658558532;13.0453016823156
Anlegerobjekt - 3.Zi.-Wohnung mit Loggia in Salzburg-Taxham;329.000 €;67,17 m²;3 Zimmer;5020 Salzburg;Rosina Maria Riess;"Garten
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83hu-1691313170-6b0e1911651842098d1963fa917a7210;https://www.immobilienscout24.at/expose/64cf4e274b9db3bbe031571e;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;329000.0;3.0;67.17;47.8242772877478;13.0454856077029
Salzach.leben - Charmanter Lebensraum im Parkfeeling;329.800 €;71 m²;3,5 Zimmer;5020 Salzburg;Markus Schwarz;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000kvauU-1701946397-de985b19dd294451812900cd34b5e815;https://www.immobilienscout24.at/expose/64f1998872eef9bcaa6abc76;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;329800.0;3.5;71.0;47.8244743060286;13.0451897782874
3 Zimmerwohnung;325.000 €;66,55 m²;3 Zimmer;5020 Salzburg;Mustafa Korkmaz;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00001jgVc1-1674057911-19d9a25b6ee14843846e19e5671bf35d;https://www.immobilienscout24.at/expose/657007e9e3e417770e542dcb;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;325000.0;3.0;66.55;47.8244457575471;13.0453109023396
Heiter mit Aussicht;295.000 €;67,26 m²;3 Zimmer;5020 Salzburg;"""""";Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83s4-1686762034-0cb05e931bb54e21ac80fc44248043e2;https://www.immobilienscout24.at/expose/639c35b6b225538192c4b769;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;295000.0;3.0;67.26;47.8242523248496;13.0453261477056
CITY WALK NONNTAL | 3-Zimmer Wohnung in bester Stadtlage;295.000 €;62,18 m²;3 Zimmer;5020 Salzburg;Thomas Lainer;"Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qzh-1690838458-0e6aefbf303649af86a54134bb1903c8;https://www.immobilienscout24.at/expose/64ce1fe8cb75334b5440af7d;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;295000.0;3.0;62.18;47.8245158865126;13.0455082032705
NEUER PREIS! Top sanierte Eigentumswohnung mit Loggia;300.000 €;73 m²;3 Zimmer;5020 Salzburg;SuchAgents AT GmbH;"Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000RKis2-378ffd336b8c437d8103c4050ddbbfe5;https://www.immobilienscout24.at/expose/649d2ee5b916c2323bf6ab62;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;300000.0;3.0;73.0;47.8243069826517;13.0455069263635
3-Zimmer-Wohnung mit optimaler Aufteilung in Salzburg Gnigl zu Verkaufen;325.000 €;72,05 m²;3 Zimmer;5020 Salzburg;Mustafa Korkmaz;"Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00001jgVc1-1701256297-bfa19a9699164c0a80354d4a91c6268c;https://www.immobilienscout24.at/expose/656ef4593fbe84486365bc01;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;325000.0;3.0;72.05;47.8245514584556;13.045157274124
3-Zimmer-Wohnung mit optimaler Aufteilung in Salzburg Gnigl zu Verkaufen;330.000 €;73 m²;3 Zimmer;5020 Salzburg;Mustafa Korkmaz;"Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00001jgVc1-1701256148-d65c6c1edc88457abaa6ea5e18f95199;https://www.immobilienscout24.at/expose/656ef4593fbe84486365bbfe;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;330000.0;3.0;73.0;47.8242985089692;13.0453530969582
Bergkino;335.000 €;72 m²;3 Zimmer;5020 Salzburg;"""""";Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83s4-1701078786-7ce1ffc7d32f4b119838caa477df621a;https://www.immobilienscout24.at/expose/6564593fbabfeff245fe67df;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;335000.0;3.0;72.0;47.8242689882554;13.0453219767302
Urbanes Wohnen in Aiglhof - 3-Zimmerwohnung mit Balkon;289.000 €;60 m²;3 Zimmer;5020 Salzburg;Engel & Völkers Salzburg;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J000025vam4-1695716-775282635f29486187ac88731fff85db;https://www.immobilienscout24.at/expose/6512e67228ba6fcc6df93ee9;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;289000.0;3.0;60.0;47.8242818081318;13.0451719249042
Zentral gelegene 3 Zimmer Wohnung;280.000 €;68 m²;3 Zimmer;5020 Salzburg;Lukas Hirsch;"Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3r00-1700736416-b726cb3ac2a446c69c0601656989d882;https://www.immobilienscout24.at/expose/655fce96babfeff245f6f3fe;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;280000.0;3.0;68.0;47.8242548954137;13.045166120604
Modernisierte 3-Zimmer-Wohnung mit Loggia in Salzburg-Taxham, Nähe Europark;339.000 €;73 m²;3 Zimmer;5020 Salzburg;Diana Aleksic;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xc-1698142867-ae4733739c5a4bf58e6ae5ca8895109b;https://www.immobilienscout24.at/expose/65378bbb083d6438b76151fc;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;339000.0;3.0;73.0;47.8243582853715;13.0454209796231
City Life - Alles nah, alles da! Tolle 3 Zimmer City Wohnung;295.000 €;63,19 m²;3 Zimmer;5020 Salzburg;Walter Rautzenberg;"Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3r7w-1674673075-6fdfbb6dc74c466caeafb7b245ee5c5d;https://www.immobilienscout24.at/expose/64d4a2b1cf1aaa12cf4ff70d;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;295000.0;3.0;63.19;47.8244020218438;13.0451727982628
Stadtwohnung mit Balkon in Salzburg - Alt Liefering;346.000 €;76 m²;3 Zimmer;5020 Salzburg - Alt Liefering;Leitgöb Wohnbau BAUTRÄGER GMBH;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qvg-a796e881ce7f4c309860ee43ba75e06d;https://www.immobilienscout24.at/expose/650c6b68529453de3f3b1d04;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;;;346000.0;3.0;76.0;;
Willkommen daheim!;298.000 €;67 m²;3 Zimmer;5020 Salzburg;"""""";Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83s4-1697620581-92803f1ac364426da3b5621e43decf42;https://www.immobilienscout24.at/expose/652f868ccda929cf67bf92bc;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;298000.0;3.0;67.0;47.8244102535371;13.0454881576109
Nestwärme;349.000 €;68,75 m²;3 Zimmer;5020 Salzburg;"""""";"Garten
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83s4-1701089963-1ee1db2095c140179c911b59aece16ab;https://www.immobilienscout24.at/expose/656484d2babfeff245fea10e;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;349000.0;3.0;68.75;47.8243306052268;13.045460140925
Herrnau: „Unsere Wohlfühloase“ 4 Zimmer Wohnung mit Loggia und herrlichen Panorama Ausblick.;349.000 €;75 m²;4 Zimmer;5020 Salzburg;;;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001gMLK8-78cfaf1a9979495ba4911e82af7d2bac;https://www.immobilienscout24.at/expose/6507aeadfe8fd24da67224e9;Available;salzburg/salzburg;wohnung;kaufen;2023-12-17;47.8243682;13.0453162;349000.0;4.0;75.0;47.8242548869154;13.0454889967536
Willkommen daheim! 3-Zimmer-Gartenwohnung in Hallein;420.000 €;67 m²;3 Zimmer;5400 Hallein;Engel & Völkers Salzburg;"Garten
Terrasse
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J000025vam4-1700128-0231dc14cc2846e8ac84b378aab671de;https://www.immobilienscout24.at/expose/6555f52c7b6abde0b04dab80;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;420000.0;3.0;67.0;47.68223871352299;13.095571009666518
Traum-Wohnung mit riesigem Garten & Wintergarten: Luxus & Ruhe in Ihrem neuen Zuhause!;599.000 €;139 m²;4 Zimmer;5423 Sankt Koloman;;"Garten
Balkon
Terrasse
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000005E2DL-7de19e8776bd4bb2b8b4df794f7fadbd;https://www.immobilienscout24.at/expose/6565e08de75071a031a28bff;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6427509;13.2040549;599000.0;4.0;139.0;47.642674051337046;13.204023085326572
Wohnen in Annaberg im Lammertal, wo andere Urlaub machen!;ab 268.000 €;77,53 – 77,53 m²;3 – 3 Zimmer;Annaberg, 5524 Annaberg;, akad. IM Tijana Sreco;"Neubauprojekt
Provisionsfrei
Balkon";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1675252024-e675d0fa167347f585f4004e0d5d029c;https://www.immobilienscout24.at/expose/63e211ea8052a33f87ffae1c;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5134803;13.432488371976865;268000.0;3.0;77.53;47.51353552530963;13.43253824551414
Stilvoll wohnen: Moderne 3-Zimmer Wohnung mit Flair;535.500 €;85,85 m²;3 Zimmer;Gangsteig 122, 5440 Golling an der Salzach;, MBA Michael Fuchsberger;"Provisionsfrei
Terrasse
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698407914-0ffd44ff032b4a67a394babfa6695fc8;https://www.immobilienscout24.at/expose/653b8c5a02546dfd98d30edd;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6003053;13.1663391;535500.0;3.0;85.85;47.60012326204669;13.166273703243387
