Item_Name;Price;Size;Number_of_Rooms;Address;Seller;Tags;Image_URL;Page_Link;Status;Region;Object;Action;Date;Latitude;Longitude;Price_EUR;Rooms;Size_m2;Latitude_n;Longitude_n
3 Zimmer Wohnung mit Balkon in Puch;598.000 €;79,55 m²;3 Zimmer;5412 Sankt Jakob am Thurn;Kainz Gruppe Office;"Balkon
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qlE-1655813477-06be31945480425099da010eec99edf8;https://www.immobilienscout24.at/expose/62c53d46780e0f9d32328c52;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.7397061;13.094851;598000.0;3.0;79.55;47.73950948637639;13.094940800294244
Traumwohnung mit Wow-Faktor: Entdecken Sie 90 m² Luxus mit Panoramabalkon und mehr!;391.000 €;89,67 m²;3 Zimmer;5423 Sankt Koloman;;"Balkon
Terrasse
Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000005E2DL-5a78bcd872c14880b760c7ab4dd46844;https://www.immobilienscout24.at/expose/6565e08d962bf757168a2481;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6427509;13.2040549;391000.0;3.0;89.67;47.642737230676666;13.20408804272059
ruhige 3-Zimmer-Wohnung im Dachgeschoß;132.000 €;63,7 m²;3 Zimmer;Neubach 147, 5523 Lungötz;, MBA Michael Fuchsberger;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1697112128-c29716d91ba145418e42bc89d1a5c8ff;https://www.immobilienscout24.at/expose/6527c5e4ca8ceb789bd0832b;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.496486;13.4095994;132000.0;3.0;63.7;47.49636047208658;13.40962074352409
Puch - am Thurnberg;ab 394.000 €;52,49 – 79,55 m²;2 – 3 Zimmer;5412 Sankt Jakob am Thurn;Kainz Gruppe Office;"Neubauprojekt
Garten
Balkon
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qlE-1655730963-01ef0d4f774f426aaa8684059980d90f;https://www.immobilienscout24.at/expose/62c53d4580f8c73e11c597a5;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.7397061;13.094851;394000.0;2.5;66.02;47.73958228154522;13.094804458195116
"""Charmante Altbauwohnung mit separatem Atelier!""";300.000 €;100 m²;5 Zimmer;5400 Hallein;Büro Bad Reichenhall;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qy9-1702055720-a56121a523db4b3b84615b46e5fff683;https://www.immobilienscout24.at/expose/657341503fbe8448636d2b7c;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;300000.0;5.0;100.0;47.68196679820284;13.095605820467162
"""Charmante Altbauwohnung im neuen Glanz!""";220.000 €;75 m²;3 Zimmer;5400 Hallein;Büro Bad Reichenhall;Video Live-Besichtigung;https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qy9-1702055720-f7c96ffa4b74465c9930040d9aa8b04b;https://www.immobilienscout24.at/expose/65734150e472d5fc06c3f722;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;220000.0;3.0;75.0;47.68223397469855;13.095500310398576
Am Fischbach: 4-Zimmer Wohnungen;434.180 €;87,01 m²;4 Zimmer;5441 Abtenau;Leitgöb Wohnbau BAUTRÄGER GMBH;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qvg-ba082e3bb23f46bab069644dbd28a4fb;https://www.immobilienscout24.at/expose/648b38a771dcab46b6b167a2;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;434180.0;4.0;87.01;47.56433578662833;13.345992216894544
Am Fischbach: 3-Zimmer Wohnungen;351.945 €;70,53 m²;3 Zimmer;5441 Abtenau;Leitgöb Wohnbau BAUTRÄGER GMBH;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qvg-0285c7af0da2410f8c75c2777033b50b;https://www.immobilienscout24.at/expose/648b38a771dcab46b6b1679f;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;351945.0;3.0;70.53;47.56416688059527;13.346106276817848
ZENTRALE WOHLFÜHLOASE;449.997 €;74 m²;3 Zimmer;5412 Puch bei Hallein;Onur Poyraz;"Garten
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3r9F-be472114719943f699fb8a91006c70b9;https://www.immobilienscout24.at/expose/6566d5a8e75071a031a47f94;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.716852;13.0904526;449997.0;3.0;74.0;47.71674964638038;13.090306963901895
Abtenau, Nähe Hallein - Stylistisch sehr attraktive Wohnung mit schönem Balkon in ruhiger Lage, toller Bergblick und wenige Gehminuten zum Schwimmbad!;299.900 €;73,98 m²;3 Zimmer;5441 Abtenau;Ulrike Widhalm;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E846C-1675091842-12fee317b4524d8a844afa777bd7209b;https://www.immobilienscout24.at/expose/63d3bf9f92dc1db271794fc0;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;299900.0;3.0;73.98;47.56403568627857;13.34599887495584
3 Zimmer Wohnung in ruhiger Lage;370.000 €;72 m²;3 Zimmer;5412 Puch bei Hallein;Simon Krims;"Video Live-Besichtigung
Parkplatz
Teilmöbliert";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3r00-1701254610-7e18eac857da4d5081001ce8b9cc3c63;https://www.immobilienscout24.at/expose/6567b7e7962bf757168cfd3c;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.716852;13.0904526;370000.0;3.0;72.0;47.716845298854906;13.090317716393088
3 Zimmer Wohnung mit Balkon in Puch;493.000 €;65,67 m²;3 Zimmer;5412 Sankt Jakob am Thurn;Kainz Gruppe Office;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qlE-1655813475-fb9170a9d2ba45908a339f5ffb0f76f7;https://www.immobilienscout24.at/expose/655dc633bc837a37da0c396a;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.7397061;13.094851;493000.0;3.0;65.67;47.7396560532794;13.094780580329914
ALTSTADT-FLAIR PUR - Charmante 3-Zimmer-Altbauwohnung in Hallein;345.000 €;96,91 m²;3 Zimmer;5400 Hallein;Diana Aleksic;"Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xc-1678300188-914a04375d5c41ad8804d4bd936977b3;https://www.immobilienscout24.at/expose/655dd069bc837a37da0c46a1;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;345000.0;3.0;96.91;47.68219578549133;13.095667009135504
Familienfreundliche geförderte 3-Zimmer Wohnung: Ihr neues Zuhause;519.100 €;80,34 m²;3 Zimmer;Gangsteig 122, 5440 Golling an der Salzach;, MBA Wolfgang Strasser;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698408009-1506acb2394646109abb935afd77bf7e;https://www.immobilienscout24.at/expose/653b8c8d61369d66f1cd4c41;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6003053;13.1663391;519100.0;3.0;80.34;47.60016112078744;13.166424257861586
Platz für Wohnträume: geförderte 3-Zimmerwohnung in bester Nachbarschaft;546.500 €;85,85 m²;3 Zimmer;Gangsteig 122, 5440 Golling an der Salzach;, akad. IM Tijana Sreco;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698407920-175680c310594481a617059e131785cb;https://www.immobilienscout24.at/expose/653b8c5a61369d66f1cd4c18;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6003053;13.1663391;546500.0;3.0;85.85;47.6002323472125;13.166349135839877
Geförderte 3-Zimmer Traumwohnung - Großzügigkeit in Bestlage;561.600 €;86,07 m²;4 Zimmer;Gangsteig 122, 5440 Golling an der Salzach;, akad. IM Tijana Sreco;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698407809-9d2144826eca4beda1745824d28ef66b;https://www.immobilienscout24.at/expose/653b89a161369d66f1cd49d9;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6003053;13.1663391;561600.0;4.0;86.07;47.60040779392906;13.166455440727464
Familienfreundliche geförderte 3-Zimmerwohnung - Ihr Raum für Entfaltung und Leben;466.700 €;75,59 m²;3 Zimmer;Gangsteig 112, 5440 Golling an der Salzach;, MBA Michael Fuchsberger;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698407649-493f259d55c844269e6934321e98cde7;https://www.immobilienscout24.at/expose/653b890961369d66f1cd48e1;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6006761;13.1660145;466700.0;3.0;75.59;47.60049663629497;13.165877779645696
Geförderte 3-Zimmer Neubauwohnung mit Garten in Golling;481.900 €;75,7 m²;3 Zimmer;Gangsteig 112, 5440 Golling an der Salzach;Regina Stockinger;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1698407357-6c4aba85c86e41d1903f0f2d5de99f06;https://www.immobilienscout24.at/expose/653b87c502546dfd98d309b9;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6006761;13.1660145;481900.0;3.0;75.7;47.600809091007;13.165946606537194
neuwertige 3-Zimmer-Wohnung mit traumhaftem Ausblick!;268.000 €;77,53 m²;3 Zimmer;Annaberg 237, 5524 Annaberg;, MBA Michael Fuchsberger;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qoQ-1700661595-adcae06983c948d3b71729bea0211ed9;https://www.immobilienscout24.at/expose/64a52d3c9382e17e904d3066;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.519156;13.43106;268000.0;3.0;77.53;47.5190649392353;13.43088066470459
3-Zimmer-Maisonette-Wohnung in Abtenau;299.000 €;80 m²;3 Zimmer;5441 Abtenau;Lukas Meißnitzer;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000Xrr2U-97033132de8b460cb74a3ec52005629f;https://www.immobilienscout24.at/expose/65098b448ba7480f14bf4c5b;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;299000.0;3.0;80.0;47.56416492934549;13.34606826994645
3-Zimmer-Wohnung in Taxach-Rif;349.000 €;70,76 m²;3 Zimmer;5400 Hallein;;"Neu
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qwu-1690203145-229c8ed683af46d9be9c2361ab50d521;https://www.immobilienscout24.at/expose/657d3b76bfd5ce3bcceda8e4;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;349000.0;3.0;70.76;47.68229058133024;13.095560899157716
Gartentraum in netter Siedlungslage;429.000 €;62,76 m²;3 Zimmer;5400 Hallein;;"Garten
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J000023r621-1699882378-c52bc48c86e4492287fb9557cb4f88a6;https://www.immobilienscout24.at/expose/645682c59afbb202b47d0912;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;429000.0;3.0;62.76;47.68223284275115;13.095644845439418
WOHNEN AM THOMANNGUT!;ab 536.000 €;76,37 – 88,08 m²;3 – 4 Zimmer;5440 Golling an der Salzach;;"Neubauprojekt
Garten
Balkon
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701797281-9c2ae7eeef0f40cc86ca83af03f040d7;https://www.immobilienscout24.at/expose/6570a0493fbe84486368c124;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;536000.0;3.5;82.225;47.596689686467336;13.167518844746684
Winter Wonderland – Dachgeschoßwohnung mit traumhaftem Blick auf den Untersberg!;395.000 €;99,3 m²;4 Zimmer;5412 Puch bei Hallein;;"Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qwu-1702225137-c15ad91ad26842d1afdef9f8b911b1c8;https://www.immobilienscout24.at/expose/6576c0693fbe8448637292d6;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.716852;13.0904526;395000.0;4.0;99.3;47.716835589447;13.09037785235003
Sonnige 3 Zimmer Wohnung + Loggia in zentraler Lage von Hallein;253.000 €;77 m²;3 Zimmer;5400 Hallein;;"Video Live-Besichtigung
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000cAf0z-c1d39a06c3ad43d3bd7640fab3fddbd4;https://www.immobilienscout24.at/expose/654e44cc7b6156bcd2d5b1a6;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;253000.0;3.0;77.0;47.681960805269554;13.095545056371096
Bergpanorama: Moderne 4-Zi.-Whg. mit Terrassenbalkon und TG-Platz;489.000 €;89 m²;4 Zimmer;5400 Hallein;;"Balkon
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxd-3c593ba1d8bc47fdbac71f5540927ed5;https://www.immobilienscout24.at/expose/6457d3a954e8ef5602b8038b;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;489000.0;4.0;89.0;47.68211034906987;13.095601204692397
Penthouse mit Gebirgsblick;815.000 €;117 m²;5 Zimmer;5441 Abtenau;;"Terrasse
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83yc-1683797998-bd0ede1424aa423095fc63c9fb9a317a;https://www.immobilienscout24.at/expose/64bbabbaa8ea3d68aca58568;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;815000.0;5.0;117.0;47.56442128840677;13.345943008193832
3-Zimmer Neubauwohnung;447.300 €;71 m²;3 Zimmer;5441 Abtenau;;"Balkon
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83yc-1683796927-12098c0ac4bf4f0ab6a396967db1012e;https://www.immobilienscout24.at/expose/64bbabbae9c3a77623c5744e;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;447300.0;3.0;71.0;47.56441344834707;13.345874455191336
K3 - Abtenau - NEUBAU - 3-Zimmerwohnung mit Balkon zu kaufen!!!;340.635 €;64 m²;3 Zimmer;5441 Abtenau;;"Balkon
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000002N6cq-1699273421-251dcd76ecfc49b2a4fefb2841cd1bb1;https://www.immobilienscout24.at/expose/654a4956b3a73f5342258b67;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5642319;13.3460333;340635.0;3.0;64.0;47.564133672151165;13.345870972051504
WOHNEN AM THOMANNGUT! 3-ZIMMER-BALKON-WOHNUNG MIT GEBIRGSBLICK;559.000 €;76,88 m²;3 Zimmer;5440 Golling an der Salzach;;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701806273-83c1c5fda8834f178fb7231329399497;https://www.immobilienscout24.at/expose/6571773ce472d5fc06c15182;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;559000.0;3.0;76.88;47.59675400147257;13.167427320283544
WOHNEN AM THOMANNGUT! GROSSZÜGIGE 3-ZIMMER-WOHNUNG MIT 2 BALKONEN;536.000 €;77,07 m²;3 Zimmer;5440 Golling an der Salzach;;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701883257-013200673cb54ebbacd87a5bdf999cce;https://www.immobilienscout24.at/expose/6571773ce472d5fc06c1517f;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;536000.0;3.0;77.07;47.59675399834057;13.167536947777633
WOHNEN AM THOMANNGUT! 4-ZIMMER-GARTEN-WOHNUNG MIT TERRASSE;629.000 €;85,21 m²;4 Zimmer;5440 Golling an der Salzach;;"Provisionsfrei
Garten
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701798116-8b8f42c37ad4480897c5ff48a8125a86;https://www.immobilienscout24.at/expose/6571773ce472d5fc06c1517c;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;629000.0;4.0;85.21;47.5968894858156;13.167582555285303
WOHNEN AM THOMANNGUT! TOLLE 4-ZIMMER-BALKON-WOHNUNG;634.000 €;88,08 m²;4 Zimmer;5440 Golling an der Salzach;;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701883286-cfc48f41153146e1b5ccf04b065564f3;https://www.immobilienscout24.at/expose/6571773c3fbe8448636a867c;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;634000.0;4.0;88.08;47.5968702441053;13.167576516607692
WOHNEN AM THOMANNGUT! GROSSZÜGIGE 3-ZIMMER-GARTENWOHNUNG;549.000 €;76,37 m²;3 Zimmer;5440 Golling an der Salzach;;"Provisionsfrei
Garten
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxe-1701883220-2eb0baf8b9334a2a8a7ace0356c7997c;https://www.immobilienscout24.at/expose/65709633e3e417770e54db74;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5967154;13.1674472;549000.0;3.0;76.37;47.59652524998289;13.167499529129548
VERKAUFSSTART: JETZT NEU IN GOLLING: 3-Zi.-Eckwohnung mit großzügigem Balkon;479.800 €;69,89 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-65aa6fd2082245df8df7a7fede03d5ec;https://www.immobilienscout24.at/expose/65469dea9de2cc7e78e0e5e8;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;479800.0;3.0;69.89;47.59375671859038;13.1670815229449
NEU SÜDSEITE GOLLING Dachgeschosswohnung mit Südterrasse;624.800 €;77,6 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-dc654e1c7f904b41af7aca7013954ee6;https://www.immobilienscout24.at/expose/65469dea9de2cc7e78e0e5ee;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;624800.0;3.0;77.6;47.59388933654145;13.166902711715377
NEU SÜDSEITE GOLLING Dachgeschosswohnung mit 2 Terrassen;629.800 €;79,81 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-c38909711f2845559b7708aada6119a9;https://www.immobilienscout24.at/expose/65469dea9de2cc7e78e0e5eb;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;629800.0;3.0;79.81;47.59385611265909;13.166897603043148
VERKAUFSSTART: JETZT NEU IN GOLLING: 3-Zi.-Wohnung mit Lift und Tiefgarage;512.800 €;68,28 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-55768839e01748d9acedf61d587fac5c;https://www.immobilienscout24.at/expose/65469dea9de2cc7e78e0e5e2;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;512800.0;3.0;68.28;47.59374207966576;13.166750263724078
NEU GOLLING FICHTENSTRASSE: 3-Zi.-Eck-Gartenwohnung;499.800 €;69,92 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Garten
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-806c663c27dc45668f49abc6775a8760;https://www.immobilienscout24.at/expose/65469de99de2cc7e78e0e5dc;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;499800.0;3.0;69.92;47.59384250923811;13.167012896904131
NEU GOLLING FICHTENSTRASSE: 3-Zi.-Gartenwohnung mit Südterrasse;524.800 €;68,35 m²;3 Zimmer;Fichtenstraße 304, 5440 Golling an der Salzach;;"Provisionsfrei
Garten
Terrasse";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qj8-e050f88f739f49628d1cd13fd47f3f92;https://www.immobilienscout24.at/expose/65469dea44ea6e02e7b6de5f;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.5937016;13.1669453;524800.0;3.0;68.35;47.59378254907581;13.166828277929168
4-Zimmer-Wohnung mit traumhaftem Garten;579.000 €;87 m²;4 Zimmer;5400 Taxach;;"Garten
Terrasse
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83yc-1697454871-5cb946aaf4394c60aa627422087a884e;https://www.immobilienscout24.at/expose/6544cc379de2cc7e78de9f19;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.7223648;13.0617045;579000.0;4.0;87.0;47.72246298145848;13.06169226167511
Komfortables Wohnen - Ideal für Familien!;489.000 €;89 m²;4 Zimmer;5400 Hallein;;"Balkon
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Ue-1702652120-585a92eb2d36466aaf74b3e5c7c5d236;https://www.immobilienscout24.at/expose/656a731cfdd724a6a42274d3;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;489000.0;4.0;89.0;47.68225718997923;13.095536213147152
Individualistische 3-Zimmer-Terrassenwohnung am Adneter Riedl;699.000 €;108,24 m²;3 Zimmer;5400 Hallein;;"Garten
Balkon
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I00000Bm61X-3e3ac505635c4a9c8f0f0991406e5783;https://www.immobilienscout24.at/expose/647eefbf9a9a0f21fd64c18a;Available;salzburg/hallein;wohnung;kaufen;2023-12-17;47.6821521;13.0956313;699000.0;3.0;108.24;47.682349520464456;13.095610639339492
